timestamp,rpm,coolant_temp_celcius,intake_air_temp_celcius,map_sensor_kpa,battery_voltage,throttle_pot_voltage,throttle_pot_percent,idle_switch,park_or_neutral_switch,fault_data_d,coolant_temp_sensor_fault,inlet_air_temp_sensor_fault,fault_data_e,fuel_pump_circuit_fault,throttle_pot_circuit_fault,idle_speed_deviation,ignition_advance,air_fuel_ratio,raw_lambda,lambda_mv,lambda_v,lambda_sensor_frequency,lambda_sensor_duty_cycle,lambda_sensor_status,closed_loop,long_term_trim,short_term_trim_percent,carbon_can_purge_valve_duty_cycle,idle_base_position,idle_error,throttle_angle,coil_time_microseconds,iac_position,ambient_temp,fuel_temp,turbo_boost_fault,ambient_temp_fault,fuel_temp_fault,knock_detected,temp_gauge_fault,air_con_clutch_fault,purge_valve_fault,map_sensor_fault,boost_valve_fault,idle_setting
Wed Feb 12 19:43:03 GMT+08:00 2025,0,85,33,101,12.9,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:03 GMT+08:00 2025,0,85,33,101,12.9,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:03 GMT+08:00 2025,0,85,33,101,12.9,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:02 GMT+08:00 2025,0,85,33,101,12.9,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:02 GMT+08:00 2025,0,85,33,101,12.9,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:02 GMT+08:00 2025,0,85,33,101,13,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:02 GMT+08:00 2025,0,85,33,101,13,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:02 GMT+08:00 2025,0,85,33,101,13,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:02 GMT+08:00 2025,0,85,33,101,13,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:01 GMT+08:00 2025,0,85,33,101,13,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:01 GMT+08:00 2025,0,85,33,101,13,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1394,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:01 GMT+08:00 2025,0,85,33,101,13.1,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1369,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:01 GMT+08:00 2025,0,85,33,101,13.1,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1369,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:01 GMT+08:00 2025,0,85,33,101,13.1,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1369,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:00 GMT+08:00 2025,0,85,33,101,13.1,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1369,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:00 GMT+08:00 2025,0,85,33,101,13.2,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1369,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:00 GMT+08:00 2025,0,85,33,101,13.2,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1369,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:00 GMT+08:00 2025,0,85,33,101,13.2,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1344,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:00 GMT+08:00 2025,0,85,33,101,13.2,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1344,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:43:00 GMT+08:00 2025,0,85,33,101,13.3,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1319,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:59 GMT+08:00 2025,0,85,33,101,13.3,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1319,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:59 GMT+08:00 2025,0,85,33,101,13.4,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1294,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:59 GMT+08:00 2025,0,85,33,101,13.4,0.78,15.599998,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1294,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:59 GMT+08:00 2025,0,85,33,101,13.5,0.72,14.400001,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,20,1270,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:59 GMT+08:00 2025,0,85,33,101,13.5,0.72,14.400001,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,10,1270,105,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:58 GMT+08:00 2025,0,85,33,100,13.6,0.52,10.4,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,3,15,0.015,255,255,1,FALSE,138,100,0,35,124,10,1245,1,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:58 GMT+08:00 2025,0,85,33,100,13.6,0.52,10.4,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,4,20,0.02,255,255,1,FALSE,138,100,0,35,124,10,1245,1,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
Wed Feb 12 19:42:57 GMT+08:00 2025,0,85,33,97,13.7,0.52,10.4,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,875,4,146,4,20,0.02,255,255,1,FALSE,138,100,0,35,124,10,1220,23,200,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.4
